अँग्लिकन व्यक्तीकडे कोकरू असते.	दुष्ट व्यक्तीकडे कोकरू असते.
एका अँग्लिकन व्यक्तीला एक शेख भेटला.	एक हुशार व्यक्ती एका शेखला भेटली.
एका अँग्लिकन व्यक्तीने बदकाची देवाणघेवाण केली.	एका कपटी व्यक्तीने बदकाची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने रेडिओसाठी अंदाजपत्रक तयार केले.	एक मूर्ख व्यक्ती रेडिओसाठी बजेट करत होती.
एका अँग्लिकन व्यक्तीने एका अधिकाऱ्याला बोलावले.	एक अविवेकी व्यक्ती एका अधिकाऱ्याला बोलावते.
एका अँग्लिकन व्यक्तीने पिझ्झा तयार केला.	एका हुशार व्यक्तीने पिझ्झा तयार केला.
एका अँग्लिकन व्यक्तीने बर्गर शिजवला.	एका उद्धट व्यक्तीने बर्गर शिजवला.
एका अँग्लिकन व्यक्तीने पिझ्झा शिजवला.	एका चांगल्या व्यक्तीने पिझ्झा शिजवला.
एका अँग्लिकन व्यक्तीने कुत्र्यासाठी बजेट केले.	एक अविवेकी व्यक्ती कुत्र्यासाठी बजेट करते.
एका अँग्लिकन व्यक्तीने नाश्त्यासाठी पैसे दिले.	एका अज्ञानी व्यक्तीने नाश्त्यासाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने एक बागेल विकली.	एका हुशार व्यक्तीने एक बॅगल विकला.
एक अँग्लिकन व्यक्ती एका वरिष्ठाला भेटली.	एक भयंकर व्यक्ती एका वरिष्ठाला भेटली.
एका अँग्लिकन व्यक्तीने एका किशोरवयीन मुलाला भेट दिली.	एका अस्वच्छ व्यक्तीने एका किशोरवयीन मुलाला भेट दिली.
एका अँग्लिकन व्यक्तीने आंब्याची अदलाबदल केली.	एका लोभी व्यक्तीने आंब्याची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने रात्रीचे जेवण केले.	एका विनोदी व्यक्तीने रात्रीचे जेवण केले.
एका अँग्लिकन व्यक्तीने एक गाद्या वाचवल्या.	एका लोभी व्यक्तीने एक गाद्या वाचवला.
एका अँग्लिकन व्यक्तीने म्हैस विकली.	एका कुरूप व्यक्तीने म्हैस विकली.
अँग्लिकन व्यक्तीला गाढव परवडू शकते.	लोभी व्यक्तीला गाढव परवडू शकते.
एका अँग्लिकन व्यक्तीने जेवण केले.	एका क्रूर व्यक्तीने जेवण खाल्ले.
एक अँग्लिकन व्यक्ती एका सेनापतीशी बोलली.	एक कमकुवत व्यक्ती एका सेनापतीशी बोलली.
अँग्लिकन व्यक्तीकडे आंबा असतो.	एका सुस्वभावी व्यक्तीकडे आंबा असतो.
एक अँग्लिकन व्यक्ती एका पूर्वजांशी बोलली.	एक दुष्ट व्यक्ती एका पूर्वजासोबत बोलली.
एका अँग्लिकन व्यक्तीने टोस्टरची देवाणघेवाण केली.	एका सुंदर व्यक्तीने एक टोस्टर विकले.
एका अँग्लिकन व्यक्तीने एक गाडी दान केली.	एका सौम्य व्यक्तीने एक गाडी दान केली.
एका अँग्लिकन व्यक्तीने पिझ्झा विकला.	एका क्रूर व्यक्तीने पिझ्झा विकला.
एका अँग्लिकन व्यक्तीने दुपारचे जेवण केले.	एका सुज्ञ व्यक्तीने दुपारचे जेवण केले.
एका अँग्लिकन व्यक्तीला एक कर्णधार आवडला.	एका वाईट व्यक्तीला कर्णधार आवडायचा.
एक अँग्लिकन व्यक्ती ज्याला प्रशंसक म्हणतात.	एक असहिष्णु व्यक्ती ज्याला प्रशंसक म्हणतात.
एका अँग्लिकन व्यक्तीने एक रेफ्रिजरेटर वाचवला.	एका फसव्या व्यक्तीने एक रेफ्रिजरेटर वाचवला.
अँग्लिकन व्यक्तीला एक शासक आवडायचा.	आक्रमक व्यक्तीला शासक आवडायचा.
अँग्लिकन व्यक्तीने कोटसाठी पैसे दिले.	एका हुशार व्यक्तीने कोटसाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने एक बस दान केली.	एका अज्ञानी व्यक्तीने बस दान केली.
एका अँग्लिकन व्यक्तीने पॅनकेक विकत घेतला.	एका कपटी व्यक्तीने पॅनकेक विकत घेतला.
एका अँग्लिकन व्यक्तीने एका प्रमुखाला भेट दिली.	एका सुज्ञ व्यक्तीने एका प्रमुखाला भेट दिली.
एक अँग्लिकन व्यक्ती एका सुलतानाशी बोलली.	एक अज्ञानी व्यक्ती एका सुलतानाशी बोलली.
अँग्लिकन व्यक्तीला गालिचा परवडू शकतो.	एक अविवेकी व्यक्ती एक गाद्या घेऊ शकते.
एका अँग्लिकन व्यक्तीने सफरचंदाची देवाणघेवाण केली.	एका कपटी व्यक्तीने सफरचंदाची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने एका राजप्रतिनिधीशी मैत्री केली.	एका सुस्वभावी व्यक्तीने एका राजप्रतिनिधीशी मैत्री केली.
एका अँग्लिकन व्यक्तीने वरिष्ठाला बोलावले.	एक स्वच्छ व्यक्ती ज्याला वरिष्ठ म्हणतात.
एका अँग्लिकन व्यक्तीने एका अधिष्ठाताची बाजू घेतली.	एका लोभी व्यक्तीने एका अधिष्ठाताची बाजू घेतली.
एक अँग्लिकन व्यक्ती ज्याला प्रौढ म्हणतात.	एक विनोदी नसलेली व्यक्ती ज्याला प्रौढ म्हणतात.
एका अँग्लिकन व्यक्तीने जेवण केले.	एका भयंकर व्यक्तीने जेवण खाल्ले.
एका अँग्लिकन व्यक्तीला पंतप्रधान आवडायचे.	एका वाईट व्यक्तीला पंतप्रधान आवडायचा.
एका अँग्लिकन व्यक्तीला एक हुकूमशहा आवडायचा.	एका उद्धट व्यक्तीला हुकूमशहा आवडायचा.
एका अँग्लिकन व्यक्तीला अभिजात म्हणतात.	एक भयंकर व्यक्ती ज्याला कुलीन म्हणतात.
एका अँग्लिकन व्यक्तीने नातेवाईकाला बोलावले.	एका फसव्या व्यक्तीने नातेवाईकाला बोलावले.
एका अँग्लिकन व्यक्तीने फोनसाठी बजेट केले.	एका मूर्ख व्यक्तीने फोनसाठी बजेट केले.
एका अँग्लिकन व्यक्तीने एका दिग्दर्शकाशी मैत्री केली.	एका हुशार व्यक्तीने एका दिग्दर्शकाशी मैत्री केली.
एका अँग्लिकन व्यक्तीने रोलची अदलाबदल केली.	एका उदार व्यक्तीने एक रोल बदलला.
एक अँग्लिकन व्यक्ती एका मालकाला भेटली.	एक आक्रमक व्यक्ती एका मालकाला भेटली.
अँग्लिकन व्यक्तीला रोल परवडू शकतो.	एक भयानक व्यक्ती एक रोल परवडू शकते.
एका अँग्लिकन व्यक्तीला सुलतानाचा तिरस्कार होता.	एका कपटी व्यक्तीला सुलतानाचा तिरस्कार होता.
एका अँग्लिकन व्यक्तीने एक बदक वाचवली.	एका अस्वच्छ व्यक्तीने बदकाला वाचवले.
एक अँग्लिकन व्यक्ती एका समूहाशी बोलली.	एक दुष्ट व्यक्ती एका टोळीशी बोलली.
एका अँग्लिकन व्यक्तीने पुडिंग तयार केले.	एका दुष्ट व्यक्तीने पुडिंग तयार केले.
एका अँग्लिकन व्यक्तीने एक कोट दान केला.	एका घाणेरड्या व्यक्तीने कोट दान केला.
एका अँग्लिकन व्यक्तीने महापौरांना भेट दिली.	एक दुष्ट व्यक्ती महापौरांना भेटली.
एका अँग्लिकन व्यक्तीला एका सेनेटरचा तिरस्कार होता.	एक हुशार व्यक्ती एका सेनेटरचा द्वेष करत असे.
एका अँग्लिकन व्यक्तीने सफरचंद खाल्ले.	एका मूर्ख व्यक्तीने सफरचंद खाल्ले.
एका अँग्लिकन व्यक्तीने सासूला बोलावले.	एक सुंदर व्यक्ती ज्याला सासरे म्हणतात.
एका अँग्लिकन व्यक्तीने एक पीच विकत घेतली.	एका अशुद्ध व्यक्तीने एक सप्ताळू विकत घेतला.
एका अँग्लिकन व्यक्तीने घोड्याची अदलाबदल केली.	एका अशुद्ध व्यक्तीने घोड्याची अदलाबदल केली.
एका अँग्लिकन व्यक्तीला एका नेत्याचा तिरस्कार वाटत असे.	एक अविवेकी व्यक्ती नेत्याचा द्वेष करत असे.
एका अँग्लिकन व्यक्तीने एका व्यवस्थापकाची ओळख पटवली.	एका अविवेकी व्यक्तीने एका व्यवस्थापकाची ओळख पटवली.
अँग्लिकन व्यक्तीला बेंच परवडू शकते.	घाणेरड्या व्यक्तीला खुर्ची परवडू शकते.
एक अँग्लिकन व्यक्ती एका शाहला भेटली.	एक भयंकर व्यक्ती एका शाहला भेटली.
एका अँग्लिकन व्यक्तीने एक बाक विकत घेतला.	एका घाणेरड्या व्यक्तीने एक बेंच विकत घेतली.
एका अँग्लिकन व्यक्तीला एका हुकूमशहाची भेट झाली.	एक हुशार व्यक्ती एका हुकूमशहाशी भेटली.
एका अँग्लिकन व्यक्तीने एका प्रौढ व्यक्तीशी मैत्री केली.	एका मूर्ख व्यक्तीने एका प्रौढ व्यक्तीशी मैत्री केली.
एका अँग्लिकन व्यक्तीने सफरचंद बदलले.	एका हुशार व्यक्तीने सफरचंद बदलले.
एका अँग्लिकन व्यक्तीला एका पूर्वजांचा तिरस्कार होता.	एका क्रूर व्यक्तीला एका पूर्वजांचा द्वेष होता.
एका अँग्लिकन व्यक्तीने नाश्त्यासाठी पैसे दिले.	एका सुज्ञ व्यक्तीने नाश्त्यासाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने केपची अदलाबदल केली.	एका वाईट व्यक्तीने केपची अदलाबदल केली.
एका अँग्लिकन व्यक्तीला एका अध्यक्षाची आवड होती.	एका मूर्ख व्यक्तीचे अध्यक्षावर प्रेम होते.
अँग्लिकन व्यक्तीला एका पर्यवेक्षकाचे प्रेम होते.	एक विनोदहीन व्यक्ती एका पर्यवेक्षकावर प्रेम करत असे.
एका अँग्लिकन व्यक्तीने एक घड्याळ विकले.	एका चांगल्या व्यक्तीने घड्याळ विकले.
एका अँग्लिकन व्यक्तीने एका गाडीसाठी पैसे दिले.	एका चांगल्या व्यक्तीने गाडीसाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने वेशभूषेसाठी अंदाजपत्रक तयार केले.	एका सशक्त व्यक्तीने वेशभूषेसाठी अंदाजपत्रक तयार केले.
एक अँग्लिकन व्यक्ती एका रहिवाशाला भेटली.	एक क्रूर व्यक्ती एका रहिवाशाला भेटली.
अँग्लिकन व्यक्तीला बस परवडू शकते.	एक हुशार व्यक्ती बस घेऊ शकते.
अँग्लिकन व्यक्तीकडे मफिन असते.	एका गलिच्छ व्यक्तीकडे मफिन असते.
एका अँग्लिकन व्यक्तीने पीच तयार केले.	एका मूर्ख व्यक्तीने पीच तयार केले.
एका अँग्लिकन व्यक्तीने एका जुलमी व्यक्तीची ओळख पटवली.	एका अव्यावसायिक व्यक्तीने एका जुलमी व्यक्तीची ओळख पटवली.
एक अँग्लिकन व्यक्ती एका राजाशी बोलली.	एक कमकुवत व्यक्ती एका राजाशी बोलली.
एका अँग्लिकन व्यक्तीने एका स्वामीशी मैत्री केली.	एका कमकुवत व्यक्तीने एका स्वामीशी मैत्री केली.
अँग्लिकन व्यक्तीला कमोडोर आवडायचा.	एका क्रूर व्यक्तीचे एका कमोडोरवर प्रेम होते.
एका अँग्लिकन व्यक्तीला पोपचा तिरस्कार होता.	एका क्रूर व्यक्तीला पोपचा तिरस्कार होता.
एका अँग्लिकन व्यक्तीने हेडफोनची अदलाबदल केली.	एका घाणेरड्या व्यक्तीने हेडफोनची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने फोनची देवाणघेवाण केली.	एका कमकुवत व्यक्तीने फोनची देवाणघेवाण केली.
एक अँग्लिकन व्यक्ती एका अधीक्षकाशी बोलली.	एक सुस्वभावी व्यक्ती एका अधीक्षकाशी बोलली.
एका अँग्लिकन व्यक्तीने एक पोशाख दान केला.	एका असहिष्णु व्यक्तीने पोशाख दान केला.
अँग्लिकन व्यक्तीला एका गुरूंवर प्रेम होते.	एक अविवेकी व्यक्ती गुरूवर प्रेम करत असे.
एका अँग्लिकन व्यक्तीने एका राजाला भेट दिली.	एका सौम्य व्यक्तीने एका राजाला भेट दिली.
एका अँग्लिकन व्यक्तीने बर्गरसाठी पैसे दिले.	एका मूर्ख व्यक्तीने बर्गरसाठी पैसे दिले.
एक अँग्लिकन व्यक्ती ज्याला श्रेष्ठत्व म्हणतात.	एक विनोदी नसलेली व्यक्ती ज्याला श्रेष्ठत्व म्हणतात.
एका अँग्लिकन व्यक्तीने एका अनोळखी व्यक्तीशी मैत्री केली.	एका अज्ञानी व्यक्तीने एका अनोळखी व्यक्तीशी मैत्री केली.
अँग्लिकन व्यक्तीला गाडी परवडू शकते.	स्वच्छ व्यक्तीला गाडी परवडू शकते.
एका अँग्लिकन व्यक्तीला शेख आवडायचा.	एका प्रामाणिक व्यक्तीला शेख आवडायचा.
एका अँग्लिकन व्यक्तीने पॅनकेकची देवाणघेवाण केली.	एका सौम्य व्यक्तीने पॅनकेकची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने एक बागेल विकत घेतली.	एका हुशार व्यक्तीने एक बागेल विकत घेतली.
एक अँग्लिकन व्यक्ती एका गुरूंना भेटायला गेली.	एक चांगली व्यक्ती एका गुरूंना भेटायला गेली.
एका अँग्लिकन व्यक्तीने एका कर्णधाराला अडवले.	एका चतुर व्यक्तीने एका कर्णधाराला अडवले.
एका अँग्लिकन व्यक्तीने टक्ससाठी अंदाजपत्रक तयार केले.	एक सुंदर व्यक्ती टक्ससाठी बजेट केलेली.
एका अँग्लिकन व्यक्तीने एका कॅप्टनशी मैत्री केली.	एका हुशार व्यक्तीने एका कॅप्टनशी मैत्री केली.
अँग्लिकन व्यक्तीला एका राजाचा द्वेष होता.	एका कमकुवत व्यक्तीला राजाचा तिरस्कार होता.
एका अँग्लिकन व्यक्तीने टोपीची अदलाबदल केली.	एका मूर्ख व्यक्तीने टोपी बदलली.
एका अँग्लिकन व्यक्तीने केक खाल्ला.	एका सौम्य व्यक्तीने केक खाल्ला.
एका अँग्लिकन व्यक्तीने एका कार्यकारी अधिकाऱ्याशी मैत्री केली.	एका सुंदर व्यक्तीची एका कार्यकारी अधिकाऱ्याशी मैत्री झाली.
एका अँग्लिकन व्यक्तीने एका सरदाराला भेट दिली.	एक कुरूप व्यक्ती एका सरदाराला भेटायला गेली.
एका अँग्लिकन व्यक्तीने गायीसाठी अंदाजपत्रक तयार केले.	एक हुशार व्यक्ती गायीसाठी बजेट करते.
एका अँग्लिकन व्यक्तीला एका निरंकुश व्यक्तीवर प्रेम होते.	एका व्यावसायिक व्यक्तीला एका निरंकुश व्यक्तीची आवड होती.
एका अँग्लिकन व्यक्तीने ओव्हनसाठी बजेट केले.	एका लोभी व्यक्तीने ओव्हनसाठी बजेट केले.
एका अँग्लिकन व्यक्तीला सिनेटर म्हणतात.	एक अव्यावसायिक व्यक्ती ज्याला सिनेटर म्हणतात.
एका अँग्लिकन व्यक्तीने एका नातेवाईकाला ओळखले.	एका भयंकर व्यक्तीने एका नातेवाईकाला ओळखले.
एका अँग्लिकन व्यक्तीने एक हीटर दान केले.	एका घाणेरड्या व्यक्तीने एक हीटर दान केले.
अँग्लिकन व्यक्तीला कोशिंबीर परवडू शकते.	असभ्य व्यक्तीला कोशिंबीर परवडू शकते.
एका अँग्लिकन व्यक्तीने एका रहिवाशाला अडवले.	एका दुष्ट व्यक्तीने एका रहिवाशाला अडवले.
एका अँग्लिकन व्यक्तीने पीच तयार केले.	एका बलवान व्यक्तीने एक पीच तयार केला.
एका अँग्लिकन व्यक्तीने एका ओळखीच्या व्यक्तीला फोन केला.	एका सौम्य व्यक्तीने एका ओळखीच्या व्यक्तीला बोलावले.
एका अँग्लिकन व्यक्तीने पितळाला अडवले.	एका चांगल्या माणसाने पितळाला अडवले.
एका अँग्लिकन व्यक्तीने टोपीची अदलाबदल केली.	एका सौम्य व्यक्तीने टोपी बदलली.
एका अँग्लिकन व्यक्तीने म्हशीची देवाणघेवाण केली.	एका उदार व्यक्तीने म्हशीची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने एक बागेल बदलली.	एका असहिष्णु व्यक्तीने एक बागेल बदलली.
एका अँग्लिकन व्यक्तीने एका शयनकक्षाचे अंदाजपत्रक तयार केले.	एक उद्धट व्यक्ती शयनकक्षाचे अंदाजपत्रक तयार करत होती.
एका अँग्लिकन व्यक्तीने एका सेनापतीशी मैत्री केली.	एका फसव्या व्यक्तीने एका सेनापतीशी मैत्री केली.
एक अँग्लिकन व्यक्ती एका अनोळखी व्यक्तीला भेटली.	एका अशुद्ध व्यक्तीला एक अनोळखी व्यक्ती भेटली.
अँग्लिकन व्यक्तीला एका सेनापतीचा तिरस्कार होता.	एका सुज्ञ व्यक्तीला एका सेनापतीचा तिरस्कार वाटायचा.
एका अँग्लिकन व्यक्तीने एका व्यवस्थापकाची ओळख पटवली.	एका वाईट व्यक्तीने एका व्यवस्थापकाची ओळख पटवली.
एक अँग्लिकन व्यक्ती एका ग्राहकाला भेटली.	एक सुस्वभावी व्यक्ती एका ग्राहकाला भेटली.
एका अँग्लिकन व्यक्तीला एका कमोडोरचा तिरस्कार होता.	एक हुशार व्यक्ती एका कमोडोरचा द्वेष करत असे.
एका अँग्लिकन व्यक्तीने एका किशोरवयीन मुलाला भेट दिली.	एक आक्रमक व्यक्ती एका किशोरवयीन मुलाला भेटली.
एका अँग्लिकन व्यक्तीने एका सेनेटरची ओळख पटवली.	एका अविवेकी व्यक्तीने एका सेनेटरची ओळख पटवली.
एका अँग्लिकन व्यक्तीने बसची देवाणघेवाण केली.	एका विनोदी व्यक्तीने बसची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने एका गाडीला धडक दिली.	एका कमकुवत व्यक्तीने एका गाडीला धडक दिली.
एका अँग्लिकन व्यक्तीने नाश्ता वाचवला.	एका सुज्ञ व्यक्तीने नाश्ता वाचवला.
एका अँग्लिकन व्यक्तीने कॅमेऱ्यासाठी बजेट केले.	एक हुशार व्यक्ती कॅमेऱ्यासाठी बजेट करत होती.
एका अँग्लिकन व्यक्तीने कपाट विकले.	एका अज्ञानी व्यक्तीने कपाट विकले.
एका अँग्लिकन व्यक्तीला न्यायाधीशाचा तिरस्कार वाटत असे.	एक हुशार व्यक्ती न्यायाधीशाचा द्वेष करत असे.
एका अँग्लिकन व्यक्तीला अधीक्षकाचा तिरस्कार होता.	एका अशुद्ध व्यक्तीला अधीक्षकाचा तिरस्कार वाटायचा.
एका अँग्लिकन व्यक्तीने एका बाकासाठी अंदाजपत्रक तयार केले.	एका मूर्ख व्यक्तीने एका बाकासाठी अंदाजपत्रक तयार केले.
एका अँग्लिकन व्यक्तीने एका शासकाची ओळख पटवली.	एका चांगल्या व्यक्तीने शासकाची ओळख पटवली.
एका अँग्लिकन व्यक्तीने एक गाय विकत घेतली.	एका उद्धट व्यक्तीने एक गाय विकत घेतली.
एका अँग्लिकन व्यक्तीने म्हशीची देवाणघेवाण केली.	एका कपटी व्यक्तीने म्हशीची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने एका उद्योगपतीची ओळख पटवली.	एका असहिष्णु व्यक्तीने एका उद्योगपतीची ओळख पटवली.
एका अँग्लिकन व्यक्तीने एक बागेल विकली.	एका मूर्ख व्यक्तीने एक बागेल विकली.
अँग्लिकन व्यक्तीला मफिन परवडू शकते.	फसव्या व्यक्तीला मफिन परवडू शकते.
एका अँग्लिकन व्यक्तीने एका व्यक्तीची ओळख पटवली.	एका प्रामाणिक व्यक्तीने एका व्यक्तीची ओळख पटवली.
एका अँग्लिकन व्यक्तीने एका सोफ्यासाठी पैसे दिले.	एका उद्धट व्यक्तीने सोफ्यासाठी पैसे दिले.
एक अँग्लिकन व्यक्ती एका कर्मचाऱ्याशी बोलली.	एक घाणेरडी व्यक्ती एका कर्मचाऱ्याशी बोलली.
एका अँग्लिकन व्यक्तीने डीनची ओळख पटवली.	एका सुस्वभावी व्यक्तीने एका अधिष्ठाताची ओळख पटवली.
एका अँग्लिकन व्यक्तीला शाह आवडायचा.	एक अविवेकी व्यक्ती शाहवर प्रेम करत असे.
एक अँग्लिकन व्यक्ती एका रहिवाशाला भेटली.	एक असभ्य व्यक्ती एका रहिवाशाला भेटली.
एका अँग्लिकन व्यक्तीने घोड्याची देवाणघेवाण केली.	एका सौम्य व्यक्तीने घोड्याची देवाणघेवाण केली.
अँग्लिकन व्यक्तीकडे डोनट असते.	एका कमकुवत व्यक्तीकडे डोनट असते.
एका अँग्लिकन व्यक्तीने वेशभूषेची देवाणघेवाण केली.	एका उद्धट व्यक्तीने वेशभूषेची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने पादत्राण विकले.	एका स्वच्छ व्यक्तीने पादत्राण विकले.
एका अँग्लिकन व्यक्तीने जेवणाची अदलाबदल केली.	एका द्वेषयुक्त व्यक्तीने जेवणाची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने एका व्यक्तीची ओळख पटवली.	एका अशुद्ध व्यक्तीने एका व्यक्तीची ओळख पटवली.
एक अँग्लिकन व्यक्ती पितळाबरोबर बोलली.	एक कमकुवत व्यक्ती पितळ्याशी बोलली.
एका अँग्लिकन व्यक्तीने डुक्कर विकला.	एका कपटी व्यक्तीने डुक्कर विकला.
एका अँग्लिकन व्यक्तीने एका प्रख्यात व्यक्तीशी मैत्री केली.	एका द्वेषयुक्त व्यक्तीने एका प्रतिष्ठित व्यक्तीशी मैत्री केली.
अँग्लिकन व्यक्तीला वाणिज्य दूताचा तिरस्कार होता.	एका प्रामाणिक व्यक्तीला एका राजदूताचा तिरस्कार वाटत असे.
एका अँग्लिकन व्यक्तीने एक बेरेट विकत घेतले.	एका स्वच्छ व्यक्तीने एक बेरेट विकत घेतले.
एका अँग्लिकन व्यक्तीने जेवण संपवले.	एका वाईट माणसाने जेवण संपवले.
एका अँग्लिकन व्यक्तीने एक मफिन वाचवला.	एका मूर्ख व्यक्तीने एक मफिन वाचवला.
अँग्लिकन व्यक्तीकडे कोंबडी असते.	एका शहाण्या व्यक्तीकडे कोंबडी असते.
एका अँग्लिकन व्यक्तीने रोलची देवाणघेवाण केली.	एका कुरूप व्यक्तीने एक रोल विकला.
एका अँग्लिकन व्यक्तीने एक कोंबडी विकली.	एका अव्यावसायिक व्यक्तीने कोंबडी विकली.
एक अँग्लिकन व्यक्ती ज्याला श्रेष्ठत्व म्हणतात.	एक सुंदर व्यक्ती ज्याला श्रेष्ठत्व म्हणतात.
एका अँग्लिकन व्यक्तीने पोपला भेट दिली.	एक कुरूप व्यक्ती पोपला भेटली.
एका अँग्लिकन व्यक्तीने एस. यू. व्ही. साठी पैसे दिले.	एका मूर्ख व्यक्तीने एस. यू. व्ही. साठी पैसे दिले.
एका अँग्लिकन व्यक्तीने हेडफोनसाठी बजेट केले.	एक हुशार व्यक्ती हेडफोनसाठी बजेट करते.
एका अँग्लिकन व्यक्तीने एका घोड्याला भेट दिली.	एक द्वेषयुक्त व्यक्ती एका घोड्याला भेटली.
एका अँग्लिकन व्यक्तीला एका अल्पजनतंत्रावर प्रेम होते.	आक्रमक व्यक्तीला अल्पजनतंत्र आवडते.
एका अँग्लिकन व्यक्तीने एका मुख्याध्यापकाशी मैत्री केली.	एका भयंकर व्यक्तीने मुख्याध्यापकाशी मैत्री केली.
एका अँग्लिकन व्यक्तीने केक दान केला.	एका प्रामाणिक व्यक्तीने केक दान केला.
एका अँग्लिकन व्यक्तीने एका कुळाला व्यत्यय आणला.	एका सुंदर व्यक्तीने एका कुळाला व्यत्यय आणला.
अँग्लिकन व्यक्तीला एका सेनापतीवर प्रेम होते.	एका कपटी व्यक्तीचे एका सेनापतीवर प्रेम होते.
अँग्लिकन व्यक्तीने एका कमांडंटला अडवले.	एका असहिष्णु व्यक्तीने एका कमांडंटला अडवले.
एका अँग्लिकन व्यक्तीने एका ज्येष्ठ व्यक्तीची ओळख पटवली.	एका प्रामाणिक व्यक्तीने एका वरिष्ठाची ओळख पटवली.
एका अँग्लिकन व्यक्तीने घोडा विकत घेतला.	एका कपटी व्यक्तीने घोडा विकत घेतला.
एका अँग्लिकन व्यक्तीने एक पलंग विकला.	एका घाणेरड्या व्यक्तीने एक पलंग विकला.
अँग्लिकन व्यक्तीला पोशाख परवडू शकतो.	एक चांगली व्यक्ती पोशाख परवडू शकते.
एका अँग्लिकन व्यक्तीने एक बैल विकत घेतला.	एका मूर्ख व्यक्तीने एक बैल विकत घेतला.
एका अँग्लिकन व्यक्तीने एक गालिचा विकला.	एका क्रूर व्यक्तीने एक गालिचा विकला.
एका अँग्लिकन व्यक्तीने एका सरदाराला भेट दिली.	एक द्वेषयुक्त व्यक्ती एका सरदाराला भेटली.
एका अँग्लिकन व्यक्तीने डोनटची देवाणघेवाण केली.	एका कमकुवत व्यक्तीने डोनटची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने एक सूप विकत घेतले.	एका सौम्य व्यक्तीने एक सूप विकत घेतले.
एका अँग्लिकन व्यक्तीने सँडविच वाचवले.	एका उद्धट व्यक्तीने सँडविच वाचवले.
एक अँग्लिकन व्यक्ती एका तरुणाला भेटली.	एक लोभी व्यक्ती एका तरुणाला भेटली.
एका अँग्लिकन व्यक्तीने जेवणाची अदलाबदल केली.	एका मूर्ख व्यक्तीने जेवणाची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने मफिनची अदलाबदल केली.	एका हुशार व्यक्तीने मफिनची अदलाबदल केली.
एक अँग्लिकन व्यक्ती एका वडीलधाऱ्याशी बोलली.	एक कमकुवत व्यक्ती एका वडीलधाऱ्याशी बोलली.
एका अँग्लिकन व्यक्तीला एक शूरवीर भेटला.	एका द्वेषयुक्त व्यक्तीला एक शूरवीर भेटला.
एका अँग्लिकन व्यक्तीने एक बैल वाचवला.	एका प्रामाणिक व्यक्तीने बैल वाचवला.
एका अँग्लिकन व्यक्तीने केकसाठी पैसे दिले.	एका घाणेरड्या व्यक्तीने केकसाठी पैसे दिले.
एक अँग्लिकन व्यक्ती एका कर्नलला भेटली.	एक हुशार व्यक्ती एका कर्नलला भेटली.
एक अँग्लिकन व्यक्ती एका अर्चिनशी बोलली.	एक मूर्ख व्यक्ती एका अर्चिनशी बोलली.
एका अँग्लिकन व्यक्तीला प्रशासकाचा तिरस्कार होता.	एका स्वच्छ व्यक्तीचा प्रशासकाशी द्वेष होता.
