Mtu Mkatoliki anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mkatoliki mmoja alimtembelea mtawala.	Mtu mmoja mnyofu alimtembelea mtawala.
Mtu Mkatoliki aliweka bajeti ya kabati.	Mtu mwenye hila aliweka bajeti ya kabati.
Mtu Mkatoliki aliweka bajeti ya kabati.	Mtu asiyejua kitu aliweka bajeti ya kabati.
Mtu Mkatoliki aitwaye bosi.	Mtu mjanja aitwaye bosi.
Mkatoliki mmoja alinunua ng'ombe.	Mtu mwenye akili alinunua ng'ombe.
Mkatoliki alimpenda jirani yake.	Mtu mwenye utaratibu alimpenda jirani yake.
Mtu Mkatoliki aliokoa saladi.	Mtu mpole aliokoa saladi.
Mtu Mkatoliki aliokoa mashine ya kuyeyusha.	Mtu mzuri aliokoa blender.
Mkatoliki mmoja alimkatiza mtawala.	Mtu fulani mwenye udanganyifu alimkatiza mtawala.
Mtu Mkatoliki aliuza nguo.	Mtu asiye na uvumilivu aliuza nguo.
Mtu Mkatoliki alitoa burger.	Mtaalamu alitoa burger.
Mtu Mkatoliki alilipa kwa ajili ya kompyuta ndogo.	Mtu mwovu alilipa kwa ajili ya kompyuta ndogo.
Mtu mmoja Mkatoliki alimwita mtendaji.	Mtu mwenye akili alimwita mtendaji.
Mtu Mkatoliki aliweka bajeti ya gari moshi.	Mtu mwenye chuki aliweka bajeti ya gari moshi.
Mtu Mkatoliki alichukia babu.	Mtu mwenye utaratibu alichukia babu.
Mtu Mkatoliki alibadilishana kofia.	Mtu mwenye nguvu alibadilisha kofia.
Mtu Mkatoliki aliuza gari la aina ya SUV.	Mtu mkatili aliuza gari la aina ya SUV.
Mkatoliki anaweza kumudu kuku.	Mtu mbaya anaweza kumudu kuku.
Mtu Mkatoliki aliokoa gari.	Mtu mjanja aliokoa van.
Mtu Mkatoliki alimwita mfanyakazi.	Mtu mwenye hila alimwita mfanyakazi.
Mkatoliki alikutana na seneta.	Mtu mwenye hila alikutana na seneta.
Mtu Mkatoliki anamiliki kabati.	Mtu asiye na uvumilivu ana kabati la nguo.
Mtu Mkatoliki anaweza kumudu peach.	Mtu mwovu anaweza kumudu peach.
Mkatoliki mmoja alimtembelea mtawala.	Mtu fulani mwovu alimtembelea mtawala fulani.
Mkatoliki mmoja alianzisha urafiki na mwanakonsuli.	Mtu mkatili alijifanya rafiki wa mwanakondoo.
Mtu Mkatoliki alilipa kwa ajili ya kabati.	Mtu mbaya sana alilipa kwa ajili ya kabati.
Mkatoliki fulani alimkatiza kamanda.	Mtu mwenye tabia mbaya alimkatiza kamanda.
Mtu Mkatoliki aitwaye mtawala.	Mtu mkarimu aitwaye mtawala.
Mtu Mkatoliki aitwaye Papa.	Mtu mzuri aitwaye Papa.
Mtu Mkatoliki alilipa kwa ajili ya punda.	Mtu asiye safi alilipa kwa ajili ya punda.
Mkatoliki mmoja alifanya urafiki na kasisi.	Mtu mwenye akili sana alianzisha urafiki na mkuu wa shule.
Mkatoliki mmoja alimtembelea mwanafunzi wa shule ya upili.	Mtaalamu alizuru mzee mmoja.
Mkatoliki alikutana na mkuu wa kabila.	Mtu asiye na uvumilivu alikutana na mkuu wa ukoo.
Mkatoliki mmoja alimtambulisha mkuu wa kanisa.	Mtu mwenye tabia mbaya alimtambua mkuu wa shule.
Mtu Mkatoliki alinunua keki.	Mtu mwenye busara alinunua pancake.
Mkatoliki alimaliza kula.	Mtu asiye na uvumilivu alimaliza mlo.
Mtu Mkatoliki alipenda bosi.	Mtu safi alipenda bosi.
Mkatoliki mmoja alianzisha urafiki na mtawala.	Mtu mwenye nguvu alijifanya rafiki wa bwana mkubwa.
Mtu mmoja Mkatoliki alitoa kuku.	Mtu mwenye hasira alitoa kuku.
Mtu Mkatoliki alinunua burger.	Mtu mbaya alinunua burger.
Mtu Mkatoliki aliuza mbuzi.	Mtu mwenye chuki aliuza mbuzi.
Mkatoliki alibadilishana chakula cha mchana.	Mtu mwenye akili alibadilishana chakula cha mchana.
Mtu Mkatoliki alipenda Skipper.	Mtu mjanja alipenda nahodha.
Mtu Mkatoliki alilipa kwa ajili ya peach.	Mtu mwenye akili alilipa kwa ajili ya peach.
Mkatoliki mmoja alianzisha urafiki na msimamizi.	Mtu mbaya sana alijifanya rafiki wa bosi.
Mtu mmoja Mkatoliki aliuza kabati.	Mtu mwenye hekima aliuza kabati.
Mtu mmoja Mkatoliki aliuza toaster.	Mtu mwenye utaratibu aliuza toaster.
Mkatoliki alikutana na mtawala wa kiume.	Mtu mbaya alikutana na oligarch.
Mkatoliki alipenda mtu mwenye cheo cha juu.	Mtu mnyofu alipenda mtu mwenye mamlaka.
Mtu mmoja Mkatoliki alizungumza na Don.	Mtu mwenye usafi alizungumza na Don.
Mtu Mkatoliki alilipa kwa ajili ya chakula cha jioni.	Mtu mwaminifu alilipa kwa ajili ya chakula cha jioni.
Mtu Mkatoliki aitwaye mpiganaji.	Mtu mwenye kiburi aitwaye mpiganaji.
Mtu Mkatoliki alilipa kwa ajili ya chakula cha mchana.	Mtu mwema alilipa kwa ajili ya chakula cha mchana.
Mtu Mkatoliki alinunua viazi.	Mtu mwenye hasira alinunua viazi.
Mtu Mkatoliki aliuza punda.	Mtu asiye na ujuzi aliuza punda.
Mkatoliki mmoja alianzisha urafiki na kolonele.	Mtu mkatili alianzisha urafiki na Kanali.
Mkatoliki alimkatiza mwanajeshi.	Mtu asiye safi alimkatiza mwanajeshi.
Mtu Mkatoliki anamiliki toaster.	Mtu mkarimu ana toaster.
Mkatoliki alichukia mpenzi wake.	Mtu mwenye utaratibu alichukia mpenzi wake.
Mkatoliki aliweka bajeti ya mkate.	Mtu mwovu aliweka bajeti ya mkate.
Mtu Mkatoliki anaweza kumudu gari moshi.	Mtu mwenye tabia mbaya anaweza kumudu gari moshi.
Mtu Mkatoliki alikutana na babu.	Mtu mbaya alikutana na babu.
Mtu Mkatoliki alilipa kwa ajili ya kitanda.	Mtu mwovu alilipa kwa ajili ya kitanda.
Mtu mmoja Mkatoliki alitoa sungura.	Mtu asiyejua kitu alitoa sungura.
Mkatoliki mmoja alifanya urafiki na mtu wa tabaka la juu.	Mtu mwenye fadhili alishirikiana na aristocratic.
Mkatoliki alibadilisha kabati.	Mtu mbaya alibadilisha kabati.
Mtu Mkatoliki alimpenda makamu wa rais.	Mtu mzuri alipenda makamu wa rais.
Mtu mmoja Mkatoliki alitoa mchanganyiko.	Mtu mbaya sana alitoa blender.
Mkatoliki alianzisha urafiki na mtu mwenye cheo cha juu.	Mtu mwenye utaratibu alishirikiana na mtu mwenye cheo.
Mtu Mkatoliki alipenda knight.	Mtu mwenye nguvu alipenda mshairi.
Mtu mmoja Mkatoliki alimtambulisha meya.	Mtu mwenye fadhili alimtambua meya.
Mtu Mkatoliki aliuza kiti.	Mtu mwenye udanganyifu aliuza kiti.
Mtu Mkatoliki aliokoa ng'ombe.	Mtu mwenye fadhili aliokoa ng'ombe.
Mtu Mkatoliki alibadilisha stapler.	Mtu mwenye akili alibadilisha kifaa cha kuunganisha.
Mkatoliki mmoja alimtambua mtawala wa kimabavu.	Mtu mwenye chuki alimtambua mtawala mkatili.
Mtu Mkatoliki aitwaye mtawala wa kimabavu.	Mtu mwenye kiburi aitwaye mtawala wa kimabavu.
Mtu Mkatoliki alikutana na babu.	Mtu mwenye udanganyifu alikutana na babu.
Mkatoliki mmoja alimtambulisha mkaaji mmoja.	Mtu mwenye nguvu alibainisha mkaaji.
Mtu Mkatoliki aliokoa redio.	Mtu mzuri aliokoa redio.
Mkatoliki alichukia dikteta.	Mtu mnyofu alimchukia dikteta.
Mtu Mkatoliki aliokoa nyati.	Mtu mzuri aliokoa nyati.
Mtu Mkatoliki aliuza kiti.	Mtu mwenye akili aliuza kiti.
Mkatoliki alilipa kwa ajili ya kiti cha kuandama.	Mtu asiye na uvumilivu alilipa kwa ajili ya kiti cha kuandama.
Mkatoliki alichukia mkuu wa ukoo.	Mtu safi alichukia mkuu.
Mtu Mkatoliki aliokoa pudding.	Mtu mwenye utaratibu aliokoa pudding.
Mtu mmoja Mkatoliki alimchukia rafiki yake.	Mtu mwenye hekima alichukia mtu aliyemfahamu.
Mkatoliki mmoja alitoa mwana-kondoo.	Mtu asiye safi alitoa kondoo.
Mtu Mkatoliki alipenda mfalme.	Mtu mzuri alipenda mfalme.
Mkatoliki mmoja alimtambulisha mkuu wa shule.	Mtu mchafu alibainisha mkuu wa idara.
Mtu Mkatoliki aliuza muffin.	Mtu mwenye udanganyifu aliuza muffin.
Mtu Mkatoliki aliokoa sofa.	Mtu asiye safi aliokoa sofa.
Mtu Mkatoliki aliweka bajeti ya keki.	Mtu mbaya sana aliweka bajeti ya peach.
Mkatoliki mmoja alizungumza na msimamizi.	Mtu dhaifu alizungumza na bosi.
Mkatoliki mmoja alianzisha urafiki na mshairi.	Mtu mwema alishirikiana na Knight.
Mkatoliki mmoja alimtembelea mkuu wa shule.	Mtu mwenye haki alimtembelea mzee wa shule.
Mtu Mkatoliki alibadilisha sofa.	Mtu mbaya alibadilisha sofa.
Mkatoliki aliweka bajeti ya kiti cha kuandama.	Mtu mkali aliweka bajeti ya kiti cha kupumzika.
Mtu Mkatoliki alimaliza kitabu.	Mtu asiye na ucheshi alimaliza roll.
Mkatoliki mmoja alikuwa rafiki wa Waziri Mkuu.	Mtu asiye na utani alianzisha urafiki na waziri mkuu.
Mtu Mkatoliki aliuza blouse.	Mtu mkarimu aliuza blouse.
Mtu Mkatoliki alinunua kabati.	Mtu mzuri alinunua kabati.
Mtu Mkatoliki aliangusha gari la jeep.	Mtaalamu aliangusha gari la jeep.
Mkatoliki alimpenda mkuu wa ukoo.	Mtu mwenye nguvu alimpenda mkuu.
Mkatoliki mmoja aliita mteja.	Mtu mwenye pupa alimwita mteja.
Mtu Mkatoliki anamiliki rafu ya vitabu.	Mtu mchafu anamiliki rafu ya vitabu.
Mtu Mkatoliki anaweza kumudu mbwa.	Mtu safi anaweza kumudu mbwa.
Mtu Mkatoliki alikutana na babu.	Mtu mchafu alikutana na babu.
Mkatoliki mmoja alimtambua mnyanyasaji.	Mtu mwenye akili alijua ni nani aliyekuwa mtawala mkatili.
Mkatoliki mmoja alizungumza na mtawala fulani.	Mtu mpumbavu alizungumza na mtawala.
Mkatoliki alikutana na mtu mzima.	Mtu mwaminifu alikutana na mtu mzima.
Mkatoliki alichukia mpenzi wake.	Mtu mwenye nguvu alichukia mtu aliyemheshimu.
Mtu Mkatoliki alinunua keki.	Mtu asiye na ucheshi alinunua keki.
Mtu Mkatoliki anamiliki mbuzi.	Mtu asiye safi anamiliki mbuzi.
Mtu mmoja Mkatoliki alimwita mtendaji.	Mtu mpumbavu aitwaye mtendaji.
Mkatoliki mmoja alizungumza na mkuu wa shule.	Mtu mjuzi alizungumza na mkuu wa shule.
Mtu mmoja Mkatoliki aliuza gari.	Mtu mwenye hasira aliuza gari.
Mkatoliki mmoja alianzisha urafiki na mfuasi wake.	Mtu mwenye nguvu alianzisha urafiki na mtu anayemheshimu.
Mtu Mkatoliki alilipa kwa simu.	Mtu mkatili alilipa kwa simu.
Mtu Mkatoliki aitwaye shah.	Mtu mwenye akili aitwaye shah.
Mkatoliki mmoja alitaja mtu fulani mashuhuri.	Mtu asiye na ucheshi alijitambulisha kuwa mtu mashuhuri.
Mtu Mkatoliki alibadilisha friji.	Mtu mwenye akili alibadilisha friji.
Mkatoliki alimkatiza tajiri.	Mtu mwenye hasira alimkatiza tajiri.
Mtu Mkatoliki anaweza kumudu headphones.	Mtu asiye na elimu anaweza kumudu headphones.
Mtu Mkatoliki alivunja kikundi.	Mtu mpole alivunja kikundi.
Mkatoliki alibadilishana sandwich.	Mtu mchafu alibadilishana sandwich.
Mtu mmoja Mkatoliki alibadilisha redio.	Mtu asiye na uvumilivu alibadilisha redio.
Mtu Mkatoliki alipenda msimamizi.	Mtu mbaya alipenda msimamizi.
Mtu Mkatoliki alibadilisha gari.	Mtu mzuri alibadilisha gari.
Mtu mmoja Mkatoliki alibadilisha saa.	Mtu mkatili alibadilisha saa.
Mtu Mkatoliki alimpenda jamaa yake.	Mtu mnyofu alimpenda jamaa yake.
Mtu Mkatoliki alianzisha urafiki na kabila.	Mtu asiye na uvumilivu alianzisha urafiki na kabila.
Mtu Mkatoliki alimwita mtu mzima.	Mtu safi aitwaye mtu mzima.
Mtu Mkatoliki aliokoa punda.	Mtu mwenye akili aliokoa punda.
Mkatoliki alibadilishana kiatu.	Mtu mbaya alibadilishana kiatu.
Mtu Mkatoliki alinunua zulia.	Mtu mwenye hasira alinunua zulia.
Mtu Mkatoliki alibadilishana mkate.	Mtu dhaifu alibadilishana mkate.
Mtu Mkatoliki aliweka bajeti ya sungura.	Mtu mzuri sana aliweka bajeti ya sungura.
Mkatoliki alimaliza kula.	Mtu mwaminifu alimaliza kiamsha kinywa.
Mkatoliki fulani alimtembelea ofisa mmoja.	Mtu asiye na uvumilivu alimtembelea mtendaji.
Mtu mmoja Mkatoliki alibadilisha pete.	Mtu asiye safi alibadilisha pete.
Mtu Mkatoliki alioka sandwich.	Mtu mwenye tabia mbaya alioka sandwich.
Mtu Mkatoliki aliokoa taa.	Mtu mkarimu aliokoa taa.
Mtu mmoja Mkatoliki alizungumza na mtu fulani aliyemfahamu.	Mtu mwenye sura mbaya alizungumza na mtu aliyemfahamu.
Mkatoliki mmoja alibadilisha kiatu.	Mtu asiyejua kitu alibadilisha kiatu.
Mkatoliki alibadilisha nyati.	Mtu mkatili alibadilisha nyati.
Mtu Mkatoliki alipenda mstaafu.	Mtu mwenye nguvu alipenda mstaafu.
Mtu mmoja Mkatoliki alinunua aproni.	Mtu mkatili alinunua aproni.
Mtu mmoja Mkatoliki aliuza gari.	Mtu mwenye kiburi aliuza gari.
Mkatoliki alibadilisha nyati.	Mtu mbaya alibadilisha nyati.
Mtu mmoja Mkatoliki alitoa gari.	Mtu asiye na ujuzi alitoa gari.
Mtu Mkatoliki alinunua kamera.	Mtu mwenye nguvu alinunua kamera.
Mtu Mkatoliki alimpenda swami.	Mtu dhaifu alimpenda swami.
Mtu Mkatoliki alimpenda mkwewe.	Mtu mzuri alipenda mkwewe.
Mtu Mkatoliki aliuza shati.	Mtu mwenye akili aliuza shati.
Mtu Mkatoliki anamiliki gari aina ya jeep.	Mtu mwenye akili ana gari aina ya jeep.
Mtu Mkatoliki alinunua mashine ya kuyeyusha.	Mtu safi alinunua blender.
Mtu mmoja Mkatoliki alitoa kabati.	Mtu safi alitoa dresser.
Mkatoliki mmoja alimkatiza mtawala.	Mtu mzuri alivunja mtawala.
Mkatoliki mmoja alimtambua mfalme.	Mtu mbaya alimtambua mfalme.
Mtu Mkatoliki anamiliki punda.	Mwenye kujali ana punda.
Mtu mmoja Mkatoliki alinunua saa.	Mtu mwovu alinunua saa.
Mkatoliki alichukia mtawala wa kimabavu.	Mtu mwenye akili nyingi alichukia mtawala mwenye kukandamiza.
Mtu Mkatoliki alilipa kwa ajili ya pancake.	Mtu mjanja alilipa kwa ajili ya pancake.
Mtu Mkatoliki alioka tunda la mtofaa.	Mtu mwenye tabia mbaya alichemsha apple.
Mkatoliki mmoja alizungumza na mpiganaji.	Mtu mzuri alizungumza na mpiganaji.
Mtu mmoja Mkatoliki alitoa tanuri.	Mtu mwenye akili alitoa tanuri.
Mtu Mkatoliki aliweka bajeti ya basi.	Mtu mwenye kiburi aliweka bajeti ya basi.
Mkatoliki alianzisha urafiki na mtawala wa kujitegemea.	Mtu mwenye jeuri alianzisha urafiki na mtawala mwenye mamlaka.
Mkatoliki mmoja alibadilisha toaster.	Mtu mjinga alibadilisha toaster.
Mtu Mkatoliki alilipa kwa saladi.	Mtu mkatili alilipa kwa ajili ya saladi.
Mtu Mkatoliki aliuza pizza.	Mtu mbaya sana aliuza pizza.
Mtu Mkatoliki aliuza punda.	Mtu mmoja mwovu aliuza punda.
Mtu Mkatoliki aliweka bajeti ya keki.	Mtu mwenye akili aliweka bajeti ya keki.
Mtu mmoja Mkatoliki aliuza zulia.	Mtu dhaifu aliuza zulia.
Mtu Mkatoliki alikula kiamsha kinywa.	Mtu mwenye jeuri alikula kiamsha kinywa.
Mtu Mkatoliki alilipa kwa ajili ya kitanda.	Mtaalamu alilipa kwa ajili ya kitanda.
Mtu Mkatoliki alimpenda askofu.	Mtu dhaifu alimpenda askofu.
Mkatoliki alichukia mtawala.	Mtu mwenye ujuzi alichukia mtawala.
Mtu Mkatoliki alilipa kwa ajili ya pete.	Mtu mwema alilipa kwa ajili ya pete.
Mtu Mkatoliki alikula viazi.	Mtu mzuri alikula viazi.
Mkatoliki alichukia mtawala wa kimabavu.	Mtu mwenye nguvu alichukia mtawala mkatili.
Mtu Mkatoliki alilipa kwa ajili ya pancake.	Mtaalamu alilipa kwa ajili ya pancake.
Mtu Mkatoliki alimwita mfanyakazi.	Mtu safi aitwaye mfanyakazi.
Mtu Mkatoliki alimpenda Waziri Mkuu.	Mtu asiye na uvumilivu alimpenda waziri mkuu.
Mkatoliki mmoja alizungumza na kijana mmoja.	Mtu mpumbavu alizungumza na kijana.
Mtu Mkatoliki alimtambua tajiri.	Mtu mwema alimtambua tajiri.
Mtu mmoja Mkatoliki alizungumza na mzee mmoja.	Mtu mmoja asiye na uvumilivu alizungumza na mzee.
Mtu Mkatoliki alimpenda mkurugenzi.	Mtu asiyejua kitu alimpenda mkuu wa shule.
Mtu Mkatoliki alilipa kwa ajili ya calculator.	Mtu mbaya alilipa kwa ajili ya calculator.
Mtu Mkatoliki alibadilisha nyati.	Mtu mbaya alibadilisha nyati.
Mtu Mkatoliki alimpenda mwenzake.	Mtu mkali alipendezwa na mwenzake.
Mtu mmoja Mkatoliki alitoa mchango wa pizza.	Mtu mmoja mkarimu alitoa pizza.
Mtu Mkatoliki anamiliki saa.	Mtu asiye na ucheshi anamiliki saa.
Mtu mmoja Mkatoliki alibadilisha rafu ya vitabu.	Mtu dhaifu alibadilisha rafu ya vitabu.
Mtu Mkatoliki anamiliki kiti.	Mtu mwenye jeuri anamiliki kiti.
Mtu Mkatoliki aliuza peach.	Mtu mwenye kiburi aliuza peach.
Mkatoliki mmoja alitoa kiti cha kuegemea.	Mtu asiye na ucheshi alitoa kiti cha kuegemea.
Mkatoliki mmoja alipata kikundi cha watu.	Mtu mwenye hekima alitambua kikundi.
Mtu Mkatoliki anamiliki punda.	Mwenye nguvu ni mwenye punda.
Mtu mmoja Mkatoliki alinunua punda.	Mtu fulani mwenye ukarimu alinunua punda.
Mtu Mkatoliki aliandaa viazi.	Mtu mwenye hasira alitayarisha viazi.
Mtu Mkatoliki anamiliki gari la aina ya SUV.	Mtu asiye na uvumilivu ana gari la aina ya SUV.
Mkatoliki mmoja alimtambulisha mgeni.	Mtu mzuri alijitambulisha kwa mgeni.
Mtu mmoja Mkatoliki alizungumza na mmiliki wa nyumba.	Mtaalamu mmoja alizungumza na mmiliki.
Mtu mmoja Mkatoliki alitoa koti.	Mtu mbaya sana alitoa koti.
Mtu Mkatoliki alimpenda bwana.	Mtu mwenye utaratibu alipenda bwana.
Mtu Mkatoliki alilipa kwa ajili ya basi.	Mtu mwenye hasira alilipa kwa ajili ya basi.
Mkatoliki mmoja alimtambulisha msimamizi.	Mtu mbaya alibainisha msimamizi.
Mtu mmoja Mkatoliki alizungumza na jirani yake.	Mtu fulani mwovu alizungumza na jirani yake.
Mtu Mkatoliki aliuza nguo.	Mtu mwenye hasira aliuza nguo.
Mkatoliki mmoja alizungumza na mwakilishi.	Mtu mwenye akili alizungumza na mwakilishi.
Mtu Mkatoliki aliweka bajeti ya paka.	Mtu asiye na ujuzi wa bajeti kwa paka.
Mtu mmoja Mkatoliki alinunua punda.	Mtu mbaya alinunua punda.
Mtu Mkatoliki anamiliki chakula cha mchana.	Mtu mwenye tabia mbaya anamiliki chakula cha mchana.
Mtu Mkatoliki alilipa kwa farasi.	Mtu mbaya alilipa kwa farasi.
Mtu Mkatoliki alipenda mfalme.	Mtu mwovu alipenda mfalme.
Mtu Mkatoliki alioka pizza.	Mtu asiye na elimu alioka pizza.
Mtu Mkatoliki aliuza sandwich.	Mtu mwenye pupa aliuza sandwich.
Mkatoliki alimtembelea makamu wa rais.	Mtu mwenye pupa alimtembelea makamu wa rais.
Mtu Mkatoliki aitwaye emir.	Mtu mpumbavu aitwaye emir.
Mtu Mkatoliki aitwaye aristocrat.	Mtu mwenye jeuri aitwaye aristocrat.
Mtu fulani Mkatoliki alimkatiza meya.	Mtu mwenye nguvu alimkatiza meya.
Mtu Mkatoliki alitoa shati.	Mtu mmoja mkarimu alitoa shati.
Mkatoliki mmoja alimtambua mtu mzima.	Mtu mwenye akili alimtambua mtu mzima.
Mkatoliki alimtembelea maliki.	Mtu mwenye hekima alimtembelea maliki.
Mkatoliki mmoja alizungumza na mzee wa ukoo.	Mtaalamu mmoja alizungumza na babu yake.
Mtu mmoja Mkatoliki alibadilisha taa.	Mtu asiye na uvumilivu alibadilisha taa.
Mkatoliki fulani alimkatiza kasisi.	Mtu fulani mkarimu alimkatiza kasisi.
Mtu Mkatoliki alinunua friji.	Mtu mpumbavu alinunua friji.
Mtu Mkatoliki aliandaa keki.	Mtu mwovu alitayarisha keki.
Mkatoliki mmoja alifanya urafiki na seneta.	Mtu mwenye sura mbaya alianzisha urafiki na seneta.
Mtu Mkatoliki anaweza kumudu punda.	Mtu mwenye utaratibu anaweza kumudu punda.
Mtu mmoja Mkatoliki alibadilishana tunda.	Mtu mwenye kiburi alibadilishana na apuli.
Mkatoliki alipenda jirani yake.	Mtu mwenye hila alimpenda jirani yake.
Mtu Mkatoliki aliweka bajeti ya simu.	Mtu mzuri aliweka bajeti ya simu.
Mtu Mkatoliki anaweza kumudu koti.	Mtu asiye mtaalamu anaweza kumudu koti.
Mtu Mkatoliki alimpenda mkwewe.	Mtu asiye na uvumilivu alimpenda mkwewe.
Mtu Mkatoliki anamiliki tanuru.	Mtu mwenye akili ana jiko.
Mkatoliki mmoja alimtambulisha mtu mzima.	Mtu asiye na ujuzi alibainisha mtu mzima.
Mtu Mkatoliki alipenda tajiri.	Mtu mwema alimpenda tajiri.
Mtu mmoja Mkatoliki alitoa gari.	Mtu mwenye akili alitoa gari.
Mkatoliki alimkatiza earl.	Mtu mzuri alivunja earl.
Mtu Mkatoliki alibadilishana keki.	Mtu mzuri alibadilishana brownie.
Mtu Mkatoliki anamiliki taa.	Mtu mchafu anamiliki taa.
Mtu Mkatoliki aliokoa ndizi.	Mtu mwovu aliokoa ndizi.
Mkatoliki aliokoa chakula.	Mtu mwenye akili aliokoa chakula.
Mtu Mkatoliki alimwita mfanyakazi.	Mtu mbaya sana alimwita mfanyakazi.
Mkatoliki mmoja aliandaa tunda la mtofaa.	Mtu mpumbavu alitayarisha apple.
Mkatoliki aliweka bajeti ya chakula.	Mtu mwenye chuki aliweka bajeti ya chakula.
Mtu mmoja Mkatoliki alinunua saa.	Mtu mwenye hekima alinunua saa.
Mtu Mkatoliki alikutana na mtu.	Mtu mbaya alikutana na mtu.
Mtu Mkatoliki alibadilisha kabati.	Mtu mwenye utaratibu alibadilisha kabati.
Mtu Mkatoliki alimwita rais.	Mtu mwenye akili alimwita rais.
Mkatoliki alichukia mkuu wa shule.	Mtu asiye safi alimchukia mwalimu mkuu.
Mtu Mkatoliki aliokoa kuku.	Mtu mzuri aliokoa kuku.
Mtu Mkatoliki alinunua kiti.	Mtu mchafu alinunua kiti.
Mkatoliki alimkatiza mkurugenzi.	Mtu mkatili alimkatiza mkurugenzi.
Mtu mmoja Mkatoliki alitoa chakula cha mchana.	Mtu mwenye chuki alitoa chakula cha mchana.
Mkatoliki mmoja alianzisha urafiki na hakimu.	Mtu mbaya sana alijifanya rafiki wa hakimu.
Mkatoliki alikutana na mtawala mkatili.	Mtu mwenye akili alipata kumjua mtawala wa kikatili.
Mtu mmoja Mkatoliki alitoa sungura.	Mtu dhaifu alitoa sungura.
Mkatoliki alikutana na mfalme.	Mtu mpole alikutana na mfalme.
Mtu Mkatoliki alipenda mkuu wa shule.	Mtu mbaya sana alipenda mkuu wa shule.
Mtu Mkatoliki alinunua pizza.	Mtu mwenye hasira alinunua pizza.
Mkatoliki fulani alimkatiza mzee fulani.	Mtu mwenye utaratibu alimkatiza mstaafu.
Mtu Mkatoliki aliendesha gari aina ya jeep.	Mtu mwenye akili aliendesha gari aina ya jeep.
Mtu mmoja Mkatoliki aliuza koti.	Mtu asiyejua kitu aliuza koti.
Mtu mmoja Mkatoliki alizungumza na Waziri Mkuu.	Mtu mwenye hasira alizungumza na waziri mkuu.
Mkatoliki mmoja alizungumza na mgeni.	Mtu mpumbavu alizungumza na mgeni.
Mtu Mkatoliki alibadilishana keki.	Mtu mchafu alibadilishana brownie.
Mtu Mkatoliki aitwaye mpiganaji.	Mtu mwovu aitwaye mpiganaji.
Mkatoliki alichukia askofu.	Mtu mpumbavu alimchukia askofu.
Mkatoliki mmoja alimtambulisha Don.	Mtu mwenye akili alitambua Don.
Mtu Mkatoliki alikula pancake.	Mtu mwenye hekima alitumia pancake.
Mtu mmoja Mkatoliki alibadilishana koti.	Mtu mmoja mwenye fadhili alibadilishana koti.
Mkatoliki alivunja mazungumzo ya babu yake.	Mtu asiye na uvumilivu alimkatiza babu.
Mtu Mkatoliki aliokoa punda.	Mtu mwenye chuki aliokoa punda.
Mtu Mkatoliki alimpenda mmiliki.	Mtu mbaya sana alimpenda mmiliki.
Mtu mmoja Mkatoliki alibadilisha friji.	Mtu asiye safi alibadilisha friji.
Mtu Mkatoliki alinunua kofia.	Mtu mkarimu alinunua koti.
Mkatoliki mmoja alimtembelea sultani.	Mtu mwenye pupa alimtembelea sultani.
Mtu Mkatoliki aliitwa mkuu wa ukoo.	Mtu asiye na utani aitwaye mkuu.
Mtu Mkatoliki anaweza kumudu pancake.	Mtu mnyofu anaweza kumudu pancake.
Mtu Mkatoliki alibadilisha basi.	Mtu mwenye tabia mbaya alibadilisha basi.
Mtu mmoja Mkatoliki alimtambua waziri mkuu.	Mtaalamu mmoja alimtambua Waziri Mkuu.
Mtu mmoja Mkatoliki alitoa kiti.	Mtu mmoja mwenye fadhili alitoa kiti.
Mtu mmoja Mkatoliki alibadilisha rafu ya vitabu.	Mtu mbaya alibadilisha rafu ya vitabu.
Mtu Mkatoliki alikula peach.	Mtu mjinga alikula peach.
Mkatoliki mmoja alibadilisha kitabu cha kukunjwa.	Mtu mwenye akili alibadilisha kitabu.
Mtu Mkatoliki anaweza kumudu kofia.	Mtu mwenye hekima anaweza kumudu kofia.
Mkatoliki alimkatiza mgonjwa.	Mtaalamu alivunja mgeni.
Mtu mmoja Mkatoliki alinunua kofia.	Mtu mwenye hasira alinunua kofia.
Mtu Mkatoliki alibadilisha paka.	Mtu mwema alibadilisha paka.
Mtu Mkatoliki alioka keki.	Mtu mwenye akili alioka keki.
Mkatoliki mmoja alibadilisha toaster.	Mtu fulani mkarimu alibadilishana toaster.
Mkatoliki fulani alimkatiza mzee fulani.	Mtu safi alivunja mstaafu.
Mkatoliki aliweka bajeti ya kuku.	Mtu mbaya sana aliweka bajeti ya kuku.
Mtu Mkatoliki alilipa kwa ajili ya kofia.	Mtu mwenye pupa alilipa kwa ajili ya kofia.
Mkatoliki mmoja alimtambulisha msimamizi.	Mtu mwenye tabia mbaya alimtambua msimamizi.
Mtu Mkatoliki aliweka bajeti ya baraza la mawaziri.	Mtu mbaya aliweka bajeti ya baraza la mawaziri.
Mkatoliki mmoja alizungumza na ofisa mmoja.	Mtu mwenye usafi alizungumza na afisa.
Mtu Mkatoliki aliokoa kitanda.	Mtu mwenye fadhili aliokoa kitanda.
Mtu Mkatoliki anaweza kumudu mbwa.	Mtu mwenye pupa anaweza kumudu mbwa.
