Myahudi anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Myahudi anaweza kununua ndizi.	Mtu asiye safi anaweza kununua ndizi.
Myahudi mmoja alianzisha urafiki na kikundi cha wafanyakazi.	Mtu mwenye utaratibu alianzisha urafiki na kikundi cha wafanyakazi.
Myahudi alikula sandwich.	Mtu mwenye akili alitumia sandwich.
Myahudi alikula chakula cha jioni.	Mtu mwenye hila alikula chakula cha jioni.
Myahudi anaweza kununua pizza.	Mtu asiye na elimu anaweza kumudu pizza.
Myahudi aliokoa keki.	Mtu mchafu aliokoa brownie.
Myahudi alikutana na mtu mwenye cheo cha juu.	Mtu mkarimu alikutana na mtu mwenye cheo cha juu.
Myahudi fulani alimkatiza mtawala.	Mtu mpole alimkatiza kaisari.
Myahudi alipenda kuwa na cheo cha juu.	Mtu mbaya sana alipenda mtu mashuhuri.
Myahudi mmoja alinunua beret.	Mtu mwenye akili alinunua beret.
Myahudi mmoja aliuza donut.	Mtu mwenye chuki alibadilisha donut.
Myahudi aliokoa kipasha joto.	Mtu mbaya sana aliokoa heater.
Myahudi anamiliki paka.	Mtu mwenye chuki anamiliki paka.
Myahudi mmoja alitoa viazi.	Mtu mmoja mkarimu alitoa viazi.
Myahudi mmoja alizungumza na mkuu wa shule.	Mtu asiye na uvumilivu alizungumza na mkuu wa shule.
Myahudi anaweza kumudu pancake.	Mtu mwenye akili anaweza kumudu pancake.
Myahudi mmoja alibadilisha laptop.	Mtu asiye na ujuzi alibadilisha laptop.
Myahudi mmoja alizungumza na kamanda.	Mtu fulani mwenye hila alizungumza na kamanda.
Myahudi alibadilisha mavazi yake.	Mtu mkarimu alibadilishana mavazi.
Myahudi mmoja alianzisha urafiki na mwanajeshi.	Mtu asiye na utani alianzisha urafiki na mwanajeshi.
Myahudi mmoja alimtembelea kijana mmoja.	Mtu mmoja mkarimu alimtembelea kijana mmoja.
Myahudi mmoja aliuza basi.	Mtu mwenye akili aliuza basi.
Myahudi alipenda mtu anayemfahamu.	Mtu mwenye akili sana alipenda mtu aliyemfahamu.
Myahudi mmoja alimwita meneja.	Mtu asiye safi alimwita meneja.
Myahudi anamiliki shati.	Mtu mpumbavu anamiliki shati.
Myahudi aliweka bajeti ya tanuru.	Mtu mwenye akili aliweka bajeti ya tanuru.
Myahudi alichukia mfalme.	Mtu mwenye hila alimchukia mfalme.
Myahudi alichukia mtawala.	Mtu mwenye akili alichukia mtawala.
Myahudi mmoja alimwita mtendaji.	Mtu mjanja aitwaye mtendaji.
Myahudi alibadilisha heater.	Mtu dhaifu alibadilisha heater.
Myahudi aliweka bajeti ya helmeti.	Mtu asiye na elimu aliweka bajeti ya helmeti.
Myahudi alihifadhi chakula.	Mtu mwema aliokoa chakula.
Myahudi alichukia mpiganaji.	Mtu mwema alimchukia mpiganaji.
Myahudi mmoja alimtembelea kamanda.	Mtu mjinga alimtembelea kamanda.
Myahudi alilipa kwa ajili ya kifaa cha kusikiliza.	Mtu mwenye akili alilipa kwa ajili ya headphones.
Myahudi alikuwa rafiki wa jirani yake.	Mtu mwenye hekima alianzisha urafiki na jirani yake.
Myahudi mmoja aliuza nyati.	Mtu mmoja mwenye fadhili alibadilisha nyati.
Myahudi alipika viazi.	Mtu mwenye pupa alioka viazi.
Myahudi alichukia earl.	Mtu mpole alichukia earl.
Myahudi mmoja aliandaa sandwich.	Mtu asiye na uvumilivu alitayarisha sandwich.
Myahudi alimpenda mwenye nyumba.	Mtu mchafu alipenda mmiliki.
Myahudi mmoja alizungumza na ofisa mmoja.	Mtu fulani mwenye fadhili alizungumza na mkurugenzi.
Myahudi mmoja aliuza pete.	Mtu mpumbavu aliuza pete.
Myahudi mmoja alitoa mchango wa chakula cha jioni.	Mtu mwenye pupa alitoa chakula cha jioni.
Myahudi aliyeitwa Waziri.	Mtu mtaalamu aitwaye vizier.
Myahudi anamiliki kifaa cha kusikia.	Mtu asiye na ucheshi ana kifaa cha kusikiliza.
Myahudi mmoja alitoa beret.	Mtu mbaya sana alitoa beret.
Myahudi mmoja alikuwa rafiki wa kijana mmoja.	Mtu mwovu alishirikiana na kijana fulani.
Myahudi aliokoa kompyuta.	Mtu mbaya aliokoa kompyuta.
Myahudi anamiliki nguo.	Mtu mkatili anamiliki vazi.
Myahudi fulani alizungumza na ofisa.	Mtu mwenye akili alizungumza na afisa.
Myahudi alibadilishana peach.	Mtu mkarimu alibadilishana peach.
Myahudi mmoja alitoa pudding.	Mtu asiye safi alitoa budding.
Myahudi mmoja aliandaa ndizi.	Mtu asiye na ujuzi aliandaa ndizi.
Myahudi mmoja alimtambulisha mtawala.	Mtu mwovu alimtambulisha mtawala.
Myahudi mmoja alimkatiza mwenzake.	Mtu asiye na ucheshi alimkatiza mwenzake.
Myahudi alipenda kikundi.	Mtu mbaya alipenda kikundi.
Myahudi mmoja alinunua friji.	Mtu mwenye kiburi alinunua friji.
Myahudi aliyeitwa hakimu.	Mtu safi aliitwa jaji.
Myahudi anayeitwa aristocrat.	Mtu mwenye chuki aitwaye aristocrat.
Myahudi anamiliki sandwich.	Mtu mwenye udanganyifu huwa na sandwichi.
Myahudi mmoja alikuwa rafiki wa sultani.	Mtu mwema alikuwa rafiki wa sultani.
Myahudi fulani alimkatiza mkurugenzi.	Mtu mwenye hekima alimkatiza mtendaji.
Myahudi fulani alikutana na mtu mashuhuri.	Mtu mbaya alikutana na mtu mashuhuri.
Myahudi fulani alimkatiza kamanda.	Mtu mzuri alivunja amri ya kamanda.
Myahudi alipenda aristocrats.	Mtu mwema alimpenda aristocrat.
Myahudi alichukia shah.	Mtu mwenye akili alichukia shah.
Myahudi alikula sandwich.	Mtu mwema alikula sandwich.
Myahudi alichukia jirani yake.	Mtu mwenye sura mbaya alichukia jirani yake.
Myahudi alilipa kwa ajili ya kitanda.	Mtu mwaminifu alilipa kwa ajili ya kitanda.
Myahudi anamiliki chakula cha mchana.	Mtu asiye na ucheshi anamiliki chakula cha mchana.
Myahudi mmoja alizungumza na mfalme.	Mtu mzuri alizungumza na mfalme.
Myahudi alimpenda aristocrat.	Mtu mwema alimpenda aristocrat.
Myahudi alimaliza kula.	Mtu mwovu alimaliza chakula cha jioni.
Myahudi mmoja alitoa simu.	Mtu dhaifu alitoa simu.
Myahudi alimaliza kula saladi.	Mtu mpumbavu alimaliza saladi.
Myahudi mmoja alizungumza na papa.	Mtu safi alizungumza na papa.
Myahudi mmoja alitoa muffin.	Mtu mbaya sana alitoa muffin.
Myahudi mmoja alinunua punda.	Mtu mwenye akili alinunua punda.
Myahudi anaweza kununua aproni.	Mtu mwenye jeuri anaweza kumudu aproni.
Myahudi mmoja alinunua kifaa cha kusikiliza sauti.	Mtu mwenye akili alinunua kipaza sauti.
Myahudi mmoja alinunua kofia.	Mtu mwenye akili alinunua kofia.
Myahudi mmoja alimtembelea msimamizi.	Mtu mwenye akili alimtembelea msimamizi.
Myahudi mmoja alimtambulisha mzee fulani.	Mtu mwema alimtambua mzee.
Myahudi mmoja alikutana na mtu fulani aliyemfahamu.	Mtu dhaifu alikutana na mtu wajuaye.
Myahudi alilipa kwa ajili ya kabati.	Mtu mwenye tabia mbaya alilipa kwa ajili ya baraza la mawaziri.
Myahudi mmoja alimtembelea amiri.	Mtu mwema alimtembelea amirali.
Myahudi alibadilishana blauzi.	Mtu mwenye hekima alibadilishana blouse.
Myahudi alilipa kwa ajili ya TV.	Mtu mnyofu alilipa kwa ajili ya TV.
Myahudi anamiliki blauzi.	Mtu mwenye akili ana blausi.
Myahudi alipenda mtawala wa kimabavu.	Mtu mwenye jeuri alipenda mtawala wa kimabavu.
Myahudi mmoja alinunua donut.	Mtu mwenye akili alinunua donut.
Myahudi alibadilishana mkate.	Mtu mjinga alibadilishana mkate.
Myahudi alikutana na papa.	Mtu mbaya alikutana na Papa.
Myahudi mmoja alinunua saa.	Mtu mkatili alinunua saa.
Myahudi mmoja alizungumza na kijana fulani.	Mtu mwenye hekima alizungumza na kijana.
Myahudi mmoja alinunua keki.	Mtu mbaya alinunua keki.
Myahudi mmoja alinunua kompyuta.	Mtu mwenye tabia mbaya alinunua kompyuta.
Myahudi mmoja alinunua viazi.	Mtu mwenye chuki alinunua viazi.
Myahudi mmoja alimtembelea mtu mzima.	Mtu asiye na elimu alimtembelea mtu mzima.
Myahudi mmoja alimtembelea mtu mmoja mashuhuri.	Mtaalamu alizuru mtu mwenye cheo cha juu.
Myahudi alipenda mtu anayemfahamu.	Mtu mwenye hila hupenda mtu anayefahamiana naye.
Myahudi alimpenda deka.	Mtu mwenye akili alimpenda mkuu wa shule.
Myahudi alimkatiza bosi wake.	Mtu mwenye akili alimkatiza bosi.
Myahudi mmoja aliuza mwana-kondoo.	Mtu mwenye busara aliuza mwana-kondoo.
Myahudi alimpenda ofisa.	Mtu mpumbavu alimpenda afisa.
Myahudi mmoja alimtembelea mtu mzima.	Mtu mwenye akili alimtembelea mtu mzima.
Myahudi alitayarisha donut.	Mtu mwenye hila alitayarisha donut.
Myahudi fulani alimpenda kuhani.	Mtu asiye na ucheshi alimpenda kasisi.
Myahudi alikula burger.	Mtu mkarimu alitumia burger.
Myahudi mmoja alimtembelea kamanda.	Mtu mwenye akili alimtembelea kamanda.
Myahudi mmoja alikutana na hakimu.	Mtu mwenye akili alikutana na hakimu.
Myahudi alipenda don.	Mtu mbaya sana alipenda Don.
Myahudi alimpenda gavana.	Mtu mkarimu alimpenda gavana.
Myahudi alibadilishana pudding.	Mtu mwenye hekima alibadilishana pudding.
Myahudi mmoja alimtembelea earl.	Mtu mpumbavu alimtembelea earl.
Myahudi mmoja alibadilishana tunda.	Mtu mchafu alibadilishana apple.
Myahudi anamiliki televisheni.	Mtu mwenye kiburi anamiliki televisheni.
Myahudi alimpenda mfanyakazi wake.	Mtaalamu alipenda mfanyakazi.
Myahudi mmoja alimtembelea rubani.	Mtaalamu mmoja alimtembelea rubani.
Myahudi mmoja alinunua viazi.	Mtu asiye mtaalamu alinunua viazi.
Myahudi mmoja alinunua keki.	Mtu mwema alinunua keki.
Myahudi mmoja alibadilishana keki.	Mtu mwenye akili alibadilisha pancake.
Myahudi mmoja alimtembelea meya.	Mtu mwenye tabia mbaya alimtembelea meya.
Myahudi mmoja alifanya urafiki na mama mkwe wake.	Mtu asiye na akili akafanya urafiki na mkwewe.
Myahudi alichukia mtu anayemheshimu.	Mtu mwenye akili nyingi alichukia mtu aliyempenda.
Myahudi aliweka bajeti ya sandwich.	Mtu mbaya sana aliweka bajeti ya sandwich.
Myahudi mmoja aliokoa sungura.	Mtu mwenye hekima aliokoa sungura.
Myahudi mmoja alibadilishana kitabu.	Mtu mwovu alibadilisha roll.
Myahudi alimkatiza mwanafunzi.	Mtu asiye na utani alimkatiza mtoto mchanga.
Myahudi alipenda kuhani.	Mtu mwovu alimpenda kuhani.
Myahudi mmoja alinunua gari.	Mtu mzuri alinunua gari.
Myahudi mmoja alibadilisha ndama.	Mtu asiye na utani alibadilisha ndama.
Myahudi alimkatiza bosi wake.	Mtu mwenye chuki alimkatiza bosi.
Myahudi mmoja alizungumza na papa.	Mtu mmoja mkarimu alizungumza na papa.
Myahudi fulani alizungumza na mwalimu wake.	Mtu asiye na ujuzi alizungumza na Waziri.
Myahudi mmoja alibadilisha punda.	Mtaalamu alibadilisha punda.
Myahudi alipenda mwenye nyumba.	Mtu asiye safi alimpenda mwenye nyumba.
Myahudi mmoja aliuza ng'ombe.	Mtu asiye na utani alibadilisha ng'ombe.
Myahudi aliweka bajeti ya tanuru.	Mtu mkatili aliweka bajeti ya tanuru.
Myahudi anaweza kumudu kiti cha magurudumu.	Mtu mpumbavu anaweza kumudu kiti cha kuandikia.
Myahudi mmoja alitoa keki.	Mtu asiye na ujuzi alitoa keki.
Myahudi alichukia mkuu wa jeshi.	Mtu mwenye akili nyingi alichukia mkuu wa shule.
Myahudi mmoja aliokoa koti.	Mtu mwenye tabia mbaya aliokoa koti.
Myahudi alilipa kwa saa.	Mtu mkatili alilipa kwa saa.
Myahudi mmoja alikutana na Don.	Mtu mwenye akili alipata Don.
Myahudi anamiliki kiatu.	Mtu mwenye akili ana kiatu.
Myahudi aliweka bajeti ya chakula cha mchana.	Mtu mwenye utaratibu aliweka bajeti ya chakula cha mchana.
Myahudi aliyeitwa mfuasi.	Mtu mwenye hila aliitwa kikundi.
Myahudi mmoja alimtembelea meneja.	Mtu fulani mwenye fadhili alimtembelea msimamizi.
Myahudi aliweka bajeti ya mashine ya kunasa.	Mtu mpumbavu aliweka bajeti ya stapler.
Myahudi mmoja alikutana na sheikh.	Mtu mwenye akili alipata sheikh.
Myahudi mmoja aliuza bata.	Mtu mmoja mwenye hila alibadilisha bata.
Myahudi aliweka bajeti ya redio.	Mtu mjinga aliweka bajeti ya redio.
Myahudi mmoja alimwita afisa.	Mtu mwenye akili aliita afisa.
Myahudi fulani aliandaa pizza.	Mtu mwenye akili alitayarisha pizza.
Myahudi mmoja alitayarisha burger.	Mtu mwenye kiburi alioka burger.
Myahudi alioka pizza.	Mtu mzuri alioka pizza.
Myahudi aliweka bajeti ya mbwa.	Mtu mwenye akili aliweka bajeti ya mbwa.
Myahudi alilipa kwa ajili ya kiamsha kinywa.	Mtu asiyejua kitu alilipa kwa ajili ya kifungua kinywa.
Myahudi mmoja aliuza mkate.	Mtu mwenye akili alibadilisha mkate.
Myahudi mmoja alikutana na mwanafunzi wa shule ya upili.	Mtu mbaya alikutana na mzee.
Myahudi mmoja alimtembelea kijana mmoja.	Mtu asiye safi alimtembelea kijana mmoja.
Myahudi alibadilishana mango.	Mtu fulani mwenye pupa alibadilishana muembe.
Myahudi alikula chakula cha jioni.	Mtu asiye na ucheshi alikula chakula cha jioni.
Myahudi aliokoa zulia.	Mtu mwenye pupa aliokoa zulia.
Myahudi mmoja aliuza nyati.	Mtu mbaya aliuza nyati.
Myahudi anaweza kumudu punda.	Mtu mwenye pupa anaweza kumudu punda.
Myahudi alikula chakula.	Mtu mkatili alikula chakula.
Myahudi fulani alizungumza na jenerali.	Mtu dhaifu alizungumza na jenerali.
Myahudi anamiliki mango.	Mtu mwenye utaratibu ana mlozi.
Myahudi mmoja alizungumza na mzee fulani wa ukoo.	Mtu mwovu alizungumza na babu yake.
Myahudi mmoja alibadilisha toaster.	Mtu mzuri alibadilisha toaster.
Myahudi mmoja alitoa gari.	Mtu mmoja mwenye fadhili alitoa gari.
Myahudi mmoja aliuza pizza.	Mtu mkatili aliuza pizza.
Myahudi alikula chakula cha mchana.	Mtu mwenye hekima alikula chakula cha mchana.
Myahudi alipenda nahodha.	Mtu mbaya alipenda Skipper.
Myahudi anayeitwa admirer.	Mtu asiye na uvumilivu huitwa mshairi.
Myahudi aliokoa friji.	Mtu mwenye udanganyifu aliokoa friji.
Myahudi alipenda mtawala.	Mtu mwenye jeuri alipenda mtawala.
Myahudi alilipa koti.	Mtu mwenye akili alilipa koti.
Myahudi mmoja alitoa basi.	Mtu asiye na maarifa alitoa basi.
Myahudi mmoja alinunua keki.	Mtu mwenye hila alinunua keki.
Myahudi mmoja alimtembelea kiongozi fulani.	Mtu mwenye hekima alimtembelea mkuu wa ukoo.
Myahudi mmoja alizungumza na sultani.	Mtu asiyejua kitu alizungumza na sultani.
Myahudi anaweza kumudu kitambaa.	Mtu mwenye akili anaweza kumudu kitambaa.
Myahudi mmoja aliuza tunda.	Mtu mmoja mwenye hila alibadilisha tunda.
Myahudi mmoja alikuwa rafiki wa mtawala.	Mtu mwenye utaratibu alianzisha urafiki na mrithi.
Myahudi mmoja aliitwa mzee.	Mtu safi aitwaye mzee.
Myahudi alimkatiza mkuu wa shule.	Mtu mwenye pupa alimkatiza mkuu wa shule.
Myahudi aliitwa mtu mzima.	Mtu asiye na ucheshi aitwaye mtu mzima.
Myahudi alikula chakula.	Mtu mbaya alikula chakula.
Myahudi alipenda Waziri Mkuu.	Mtu mbaya alimpenda waziri mkuu.
Myahudi alipenda dikteta.	Mtu mtukutu alipenda dikteta.
Myahudi anayeitwa aristocrat.	Mtu mbaya sana aitwaye aristocrat.
Myahudi alimwita mtu wa jamaa yake.	Mtu mwenye udanganyifu alimwita jamaa.
Myahudi aliweka bajeti ya simu.	Mtu mpumbavu aliweka bajeti ya simu.
Myahudi mmoja alikuwa rafiki wa mkurugenzi.	Mtu mwenye akili alianzisha urafiki na mkurugenzi.
Myahudi mmoja alibadilishana kitabu.	Mtu fulani mkarimu alibadilishana mzunguko.
Myahudi mmoja alimtembelea mwenye nyumba.	Mtu mwenye hasira alimtembelea mmiliki.
Myahudi anaweza kumudu mkate.	Mtu mbaya anaweza kumudu roll.
Myahudi alichukia sultani.	Mtu mwenye hila alimchukia sultani.
Myahudi aliokoa bata.	Mtu asiye safi aliokoa bata.
Myahudi mmoja alizungumza na umati.	Mtu mwovu alizungumza na kundi la watu.
Myahudi fulani aliandaa pudding.	Mtu mwovu alitayarisha pudding.
Myahudi mmoja alitoa koti.	Mtu mchafu alitoa koti.
Myahudi mmoja alimtembelea meya.	Mtu mwovu alimtembelea meya.
Myahudi alichukia seneta.	Mtu mwenye akili alichukia seneta.
Myahudi alikula tunda.	Mtu mpumbavu alikula apple.
Myahudi anayeitwa mkwe.	Mtu mzuri aitwaye mkwe.
Myahudi mmoja alinunua peach.	Mtu asiye safi alinunua pichesi.
Myahudi mmoja alibadilisha farasi.	Mtu asiye safi alibadilisha farasi.
Myahudi alichukia kiongozi.	Mtu mwenye akili alichukia kiongozi.
Myahudi fulani alimtambulisha msimamizi fulani.	Mtu mwenye akili alipata msimamizi.
Myahudi anaweza kumudu benchi.	Mtu mchafu anaweza kumudu benchi.
Myahudi alikutana na shah.	Mtu mbaya alikutana na shah.
Myahudi mmoja alinunua benchi.	Mtu mchafu alinunua benchi.
Myahudi alikutana na mtawala mwenye nguvu.	Mtu mwenye akili alikutana na mtawala wa kimabavu.
Myahudi alianzisha urafiki na mtu mzima.	Mtu mpumbavu alifanya urafiki na mtu mzima.
Myahudi mmoja alibadilishana tunda.	Mtu mwenye akili alibadilishana apple.
Myahudi alichukia mzee wake.	Mtu mkatili alichukia mzazi wake.
Myahudi alilipa kwa ajili ya kiamsha kinywa.	Mtu mwenye hekima alilipa kwa ajili ya kiamsha kinywa.
Myahudi alibadilisha vazi.	Mtu mbaya alibadilisha cape.
Myahudi alipenda rais.	Mtu mpumbavu alipenda mwenyekiti.
Myahudi alipenda msimamizi wake.	Mtu asiye na ucheshi alimpenda msimamizi.
Myahudi mmoja aliuza saa.	Mtu mwema aliuza saa.
Myahudi alilipa gari.	Mtu mwema alilipa kwa gari.
Myahudi aliweka bajeti ya mavazi.	Mtu mwenye nguvu aliweka bajeti ya mavazi.
Myahudi mmoja alikutana na mkaaji mmoja.	Mtu mkatili alikutana na mkaaji.
Myahudi anaweza kumudu basi.	Mtu mwenye akili anaweza kumudu basi.
Myahudi anamiliki muffin.	Mtu mchafu anamiliki muffin.
Myahudi alitayarisha peach.	Mtu mjinga aliandaa peach.
Myahudi mmoja alimtambua mnyanyasaji.	Mtu asiye na ujuzi alibainisha mdhalimu.
Myahudi mmoja alizungumza na mfalme.	Mtu dhaifu alizungumza na mfalme.
Myahudi mmoja alifanya urafiki na swami.	Mtu dhaifu alifanya urafiki na swami.
Myahudi alimpenda kamanda.	Mtu mkatili alimpenda kamanda.
Myahudi alichukia papa.	Mtu mkatili alimchukia papa.
Myahudi alibadilishana vichwa vya sauti.	Mtu mchafu alibadilisha kipaza sauti.
Myahudi mmoja alibadilisha simu.	Mtu dhaifu alibadilisha simu.
Myahudi mmoja alizungumza na ofisa mmoja.	Mtu mmoja mwenye utaratibu alizungumza na msimamizi.
Myahudi mmoja alitoa vazi.	Mtu asiye na uvumilivu alitoa vazi.
Myahudi alimpenda mwalimu wake.	Mtu mwenye akili alipenda bwana wake.
Myahudi mmoja alimtembelea mfalme.	Mtu mmoja mwenye fadhili alimtembelea mfalme.
Myahudi alilipa kwa ajili ya burger.	Mtu mpumbavu alilipa kwa ajili ya burger.
Myahudi aliyeitwa mtu mashuhuri.	Mtu asiye na utani aitwaye mtukufu.
Myahudi alianzisha urafiki na mgeni.	Mtu asiye na maarifa akafanya urafiki na mgeni.
Myahudi anaweza kumudu gari.	Mtu safi anaweza kumudu gari.
Myahudi alimpenda sheikh.	Mtu mwaminifu alimpenda sheikh.
Myahudi mmoja alibadilishana keki.	Mtu mwema alibadilishana pancake.
Myahudi mmoja alinunua mkate.	Mtu mwenye akili alinunua mkate.
Myahudi mmoja alimtembelea mwalimu.	Mtu mwema alimtembelea bwana.
Myahudi alimkatiza nahodha.	Mtu mwenye akili alimkatiza nahodha.
Myahudi aliweka bajeti ya suti.	Mtu mzuri sana aliweka bajeti ya suti.
Myahudi mmoja alianzisha urafiki na nahodha mmoja.	Mtu mwenye akili sana alianzisha urafiki na nahodha.
Myahudi alichukia mfalme.	Mtu dhaifu alimchukia mfalme.
Myahudi alibadilishana kofia.	Mtu mpumbavu alibadilisha kofia.
Myahudi alikula keki.	Mtu mpole alikula keki.
Myahudi mmoja alifanya urafiki na mtendaji fulani.	Mtu mzuri sana alifanya urafiki na mtendaji.
Myahudi mmoja alimtembelea kiongozi mmoja.	Mtu mwenye sura mbaya alimtembelea mkuu wa kijiji.
Myahudi aliweka bajeti ya ng'ombe.	Mtu mjanja aliweka bajeti ya ng'ombe.
Myahudi alipenda mtawala wa kujitegemea.	Mtaalamu alipenda mtawala wa kujitegemea.
Myahudi aliweka bajeti ya tanuru.	Mtu mwenye pupa aliweka bajeti ya jiko.
Myahudi mmoja alimwita seneta.	Mtu asiye na ujuzi wa kazi anaitwa Seneta.
Myahudi alitaja mtu wa ukoo.	Mtu mbaya sana alitambua jamaa.
Myahudi mmoja alitoa heater.	Mtu mchafu alitoa heater.
Myahudi anaweza kununua saladi.	Mtu mtukutu anaweza kumudu saladi.
Myahudi alimkatiza mgeni.	Mtu mwovu alimkatiza mgeni.
Myahudi alitayarisha peach.	Mtu mwenye nguvu alitayarisha peresi.
Myahudi fulani alimpigia simu mtu fulani aliyemfahamu.	Mtu mwenye fadhili alimwita mtu aliyemfahamu.
Myahudi fulani alimkatiza ofisa mkuu.	Mtu mwema alivunja shaba.
Myahudi alibadilishana kofia.	Mtu mpole alibadilishana kofia.
Myahudi mmoja aliuza nyati.	Mtu mmoja mkarimu alibadilisha nyati.
Myahudi alibadilishana mkate.	Mtu asiye na uvumilivu alibadilishana mkate.
Myahudi aliweka bajeti ya kiti cha kusugua.	Mtu mtukutu aliweka bajeti ya kiti cha kuchezea.
Myahudi mmoja alianzisha urafiki na jenerali mmoja.	Mtu mwenye hila alianzisha urafiki na jenerali.
Myahudi alikutana na mgeni.	Mtu asiye safi alikutana na mgeni.
Myahudi alichukia kamanda.	Mtu mwenye hekima alimchukia kamanda.
Myahudi fulani alimtambulisha msimamizi fulani.	Mtu mbaya alibainisha meneja.
Myahudi alikutana na mteja.	Mtu mwenye utaratibu alikutana na mteja.
Myahudi alichukia kamanda.	Mtu mwenye akili nyingi alichukia kamanda.
Myahudi mmoja alimtembelea kijana mmoja.	Mtu mwenye jeuri alimtembelea kijana mmoja.
Myahudi mmoja alimtambulisha seneta.	Mtu mwenye akili alifafanua seneta.
Myahudi mmoja alibadilisha basi.	Mtu asiye na ucheshi alibadilisha basi.
Myahudi aliangusha gari.	Mtu dhaifu alipiga gari.
Myahudi aliokoa kiamsha-kinywa.	Mtu mwenye hekima aliokoa kiamsha-kinywa.
Myahudi aliweka bajeti ya kamera.	Mtu mwenye akili aliweka bajeti ya kamera.
Myahudi mmoja alibadilisha kabati.	Mtu asiyejua kitu alibadilisha kabati.
Myahudi alichukia hakimu.	Mtu mwenye akili alichukia hakimu.
Myahudi alichukia mkuu wa jeshi.	Mtu asiye safi alimchukia mkuu wa jeshi.
Myahudi aliweka bajeti ya benchi.	Mtu mpumbavu aliweka bajeti ya benchi.
Myahudi mmoja alimtambulisha mtawala.	Mtu mwema alimtambua mtawala.
Myahudi mmoja alinunua ng'ombe.	Mtu mwenye tabia mbaya alinunua ng'ombe.
Myahudi mmoja aliuza nyati.	Mtu fulani mwenye hila alibadilisha nyati.
Myahudi mmoja alimtambua tajiri mmoja.	Mtu asiye na uvumilivu alimtambua tajiri.
Myahudi mmoja aliuza mkate.	Mtu mjinga aliuza mkate.
Myahudi anaweza kununua keki.	Mtu mwenye udanganyifu anaweza kumudu keki.
Myahudi mmoja alimtambulisha mtu fulani.	Mtu mwaminifu alimtambua mwenzake.
Myahudi alilipa kwa ajili ya kitanda.	Mtu mwenye tabia mbaya alilipa kwa ajili ya kitanda.
Myahudi mmoja alizungumza na mfanyakazi fulani.	Mtu mchafu alizungumza na mfanyakazi.
Myahudi mmoja alimtambulisha mmoja wa wasomi.	Mtu mwenye busara alimtambua mkuu wa shule.
Myahudi alipenda shah.	Mtu mwenye akili alipenda shah.
Myahudi mmoja alikutana na mkaaji mmoja.	Mtu mwenye tabia mbaya alikutana na mkaaji.
Myahudi mmoja aliuza farasi.	Mtu mmoja mwenye fadhili alibadilisha farasi.
Myahudi anamiliki donut.	Mtu dhaifu anamiliki donut.
Myahudi mmoja alibadilisha vazi.	Mtu mwenye tabia mbaya alibadilisha mavazi.
Myahudi mmoja aliuza kiatu.	Mtu safi aliuza kiatu.
Myahudi mmoja alibadilishana chakula cha mchana.	Mtu mwenye chuki alibadilishana chakula cha mchana.
Myahudi mmoja alimtambulisha mtu fulani.	Mtu asiye safi alimtambua mtu.
Myahudi mmoja alizungumza na ofisa mmoja.	Mtu dhaifu alizungumza na mtu mwenye mamlaka.
Myahudi mmoja aliuza nguruwe.	Mtu mmoja mwenye hila alibadilisha nguruwe.
Myahudi mmoja alikuwa rafiki wa mtu mashuhuri.	Mtu mwenye chuki alianzisha urafiki na mtu mashuhuri.
Myahudi alichukia makonsuli.	Mtu mwenye haki alimchukia mkuu wa nchi.
Myahudi mmoja alinunua beret.	Mtu safi alinunua beret.
Myahudi alipomaliza kula.	Mtu mbaya alimaliza kula.
Myahudi aliokoa muffin.	Mtu mjinga aliokoa muffin.
Myahudi anamiliki kuku.	Mtu mwenye hekima anamiliki kuku.
Myahudi mmoja aliuza kitabu cha kukunjwa.	Mtu mbaya alibadilisha roll.
Myahudi mmoja aliuza kuku.	Mtu asiye na ujuzi aliuza kuku.
Myahudi aliyeitwa mtu mashuhuri.	Mtu mzuri aitwaye eminence.
Myahudi mmoja alimtembelea papa.	Mtu mwenye sura mbaya alimtembelea papa.
Myahudi alilipa kwa gari la aina ya SUV.	Mtu mjinga alilipa kwa ajili ya SUV.
Myahudi aliweka bajeti ya kipaza sauti.	Mtu mwenye akili aliweka bajeti ya kipaza sauti.
Myahudi mmoja alimtembelea mwanajeshi.	Mtu mwenye chuki alimtembelea mwanajeshi.
Myahudi alipenda oligarch.	Mtu mwenye jeuri alimpenda oligarch.
Myahudi mmoja alikuwa rafiki ya mwalimu mkuu.	Mtu mbaya sana alifanya urafiki na mkuu wa shule.
Myahudi mmoja alitoa keki.	Mtu mwenye haki alitoa keki.
Myahudi alivunja mkutano.	Mtu mzuri alivunja ukoo.
Myahudi fulani alimpenda kamanda.	Mtu mwenye hila alimpenda kamanda.
Myahudi fulani alimkatiza kamanda.	Mtu fulani asiye na uvumilivu alimkatiza kamanda.
Myahudi mmoja alimtambua mtu mwenye umri mkubwa.	Mtu mwaminifu alitambua mzee.
Myahudi mmoja alinunua farasi.	Mtu mwenye hila alinunua farasi.
Myahudi mmoja aliuza sofa.	Mtu mchafu aliuza sofa.
Myahudi anaweza kununua nguo.	Mtu mzuri anaweza kumudu mavazi.
Myahudi mmoja alinunua ng'ombe.	Mtu mpumbavu alinunua ng'ombe.
Myahudi mmoja aliuza zulia.	Mtu mkatili aliuza zulia.
